"filename", "language", "Vue", "JavaScript", "TypeScript", "JSON", "CSS", "SCSS", "XML", "HTML", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\App.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\base.scss", "SCSS", 0, 0, 0, 0, 0, 54, 0, 0, 0, 11, 65
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\file.list.scss", "SCSS", 0, 0, 0, 0, 0, 111, 0, 0, 0, 22, 133
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 0, 0, 19, 86, 540
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\demo_index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 931, 2, 130, 1063
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.css", "CSS", 0, 0, 0, 0, 127, 0, 0, 0, 0, 41, 168
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.json", "JSON", 0, 0, 0, 275, 0, 0, 0, 0, 0, 1, 276
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Activity.vue", "Vue", 114, 0, 0, 0, 0, 0, 0, 0, 7, 19, 140
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Answer.vue", "Vue", 186, 0, 0, 0, 0, 0, 0, 0, 5, 28, 219
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\BackgroundAnimation.vue", "Vue", 408, 0, 0, 0, 0, 0, 0, 0, 8, 48, 464
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\CrossStar.vue", "Vue", 163, 0, 0, 0, 0, 0, 0, 0, 0, 34, 197
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dashboard.vue", "Vue", 283, 0, 0, 0, 0, 0, 0, 0, 7, 53, 343
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\DashboardAdmin.vue", "Vue", 255, 0, 0, 0, 0, 0, 0, 0, 7, 50, 312
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Delete.vue", "Vue", 203, 0, 0, 0, 0, 0, 0, 0, 10, 42, 255
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dynamic.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 327, 0, 0, 0, 0, 0, 0, 0, 32, 54, 413
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\FeedBack.vue", "Vue", 316, 0, 0, 0, 0, 0, 0, 0, 16, 53, 385
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\MoneyHistory.vue", "Vue", 187, 0, 0, 0, 0, 0, 0, 0, 5, 22, 214
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Neural.vue", "Vue", 185, 0, 0, 0, 0, 0, 0, 0, 9, 27, 221
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Official.vue", "Vue", 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 77
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Pay.vue", "Vue", 218, 0, 0, 0, 0, 0, 0, 0, 88, 33, 339
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\PersonContent.vue", "Vue", 159, 0, 0, 0, 0, 0, 0, 0, 14, 30, 203
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Slider.vue", "Vue", 190, 0, 0, 0, 0, 0, 0, 0, 0, 23, 213
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Starfield.vue", "Vue", 205, 0, 0, 0, 0, 0, 0, 0, 2, 25, 232
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\config\apiConfig.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 4, 11, 46
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\main.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 13, 47
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\router\index.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\counter.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\passwordStore.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\userStore.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Auth.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 3, 15
