"filename", "language", "TypeScript", "Vue", "JavaScript", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Answer.vue", "Vue", 0, -29, 0, -1, -8, -38
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dashboard.vue", "Vue", 0, 7, 0, 0, 3, 10
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dynamic.vue", "Vue", 0, -9, 0, -2, -3, -14
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 0, 26, 0, -10, 3, 19
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\FeedBack.vue", "Vue", 0, -51, 0, -1, -7, -59
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Pay.vue", "Vue", 0, -99, 0, -78, -4, -181
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\PersonContent.vue", "Vue", 0, 56, 0, -1, 14, 69
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Personalizaion.vue", "Vue", 0, 212, 0, 10, 38, 260
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\config\apiConfig.js", "JavaScript", 0, 0, -10, 10, -1, -1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\userStore.ts", "TypeScript", 8, 0, 0, 2, 3, 13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", 0, 6, 0, 0, 1, 7
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Framework.vue", "Vue", 0, 1, 0, 0, 0, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 0, 2, 0, 0, 0, 2
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 0, 3, 0, 0, 0, 3
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Profile.vue", "Vue", 0, 18, 0, 1, 2, 21
"Total", "-", 8, 143, -10, -70, 41, 112
