"filename", "language", "Vue", "TypeScript", "JavaScript", "XML", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Activity.vue", "Vue", 118, 0, 0, 0, 18, 22, 158
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Answer.vue", "Vue", 1, 0, 0, 0, 12, 0, 13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dashboard.vue", "Vue", 0, 0, 0, 0, 10, 1, 11
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\DashboardAdmin.vue", "Vue", -6, 0, 0, 0, 0, -1, -7
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 9, 0, 0, 0, 1, 4, 14
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\MoneyHistory.vue", "Vue", -187, 0, 0, 0, -5, -22, -214
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\config\apiConfig.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\router\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 6
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", 5, 0, 0, 0, -2, -5, -2
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\UserManagement.vue", "Vue", 11, 0, 0, 0, -6, -1, 4
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 43, 0, 0, 0, -7, 3, 39
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 5, 0, 0, 0, -166, -5, -166
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Test.vue", "Vue", 73, 0, 0, 0, 8, 15, 96
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\TextSearch.vue", "Vue", 24, 0, 0, 0, 0, -2, 22
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\dialogue.vue", "Vue", -39, 0, 0, 0, 0, -8, -47
"Total", "-", 57, 6, 1, 1, -136, 1, -70
