"filename", "language", "Vue", "JavaScript", "TypeScript", "XML", "CSS", "JSON", "HTML", "SCSS", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\App.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\base.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 54, 0, 11, 65
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\file.list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 111, 0, 22, 133
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 0, 0, 19, 86, 540
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\demo_index.html", "HTML", 0, 0, 0, 0, 0, 0, 931, 0, 2, 130, 1063
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.css", "CSS", 0, 0, 0, 0, 127, 0, 0, 0, 0, 41, 168
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\icon\iconfont.json", "JSON", 0, 0, 0, 0, 0, 275, 0, 0, 0, 1, 276
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Activity.vue", "Vue", 232, 0, 0, 0, 0, 0, 0, 0, 25, 41, 298
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Answer.vue", "Vue", 158, 0, 0, 0, 0, 0, 0, 0, 16, 20, 194
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\BackgroundAnimation.vue", "Vue", 408, 0, 0, 0, 0, 0, 0, 0, 8, 48, 464
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\CrossStar.vue", "Vue", 163, 0, 0, 0, 0, 0, 0, 0, 0, 34, 197
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dashboard.vue", "Vue", 290, 0, 0, 0, 0, 0, 0, 0, 17, 57, 364
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\DashboardAdmin.vue", "Vue", 249, 0, 0, 0, 0, 0, 0, 0, 7, 49, 305
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Delete.vue", "Vue", 207, 0, 0, 0, 0, 0, 0, 0, 8, 40, 255
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 362, 0, 0, 0, 0, 0, 0, 0, 23, 61, 446
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\FeedBack.vue", "Vue", 265, 0, 0, 0, 0, 0, 0, 0, 15, 46, 326
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Neural.vue", "Vue", 185, 0, 0, 0, 0, 0, 0, 0, 9, 27, 221
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Official.vue", "Vue", 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 77
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Pay.vue", "Vue", 119, 0, 0, 0, 0, 0, 0, 0, 10, 29, 158
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\PersonContent.vue", "Vue", 215, 0, 0, 0, 0, 0, 0, 0, 13, 44, 272
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Personalizaion.vue", "Vue", 212, 0, 0, 0, 0, 0, 0, 0, 10, 38, 260
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Slider.vue", "Vue", 190, 0, 0, 0, 0, 0, 0, 0, 0, 23, 213
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Starfield.vue", "Vue", 205, 0, 0, 0, 0, 0, 0, 0, 2, 25, 232
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\config\apiConfig.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 15, 10, 47
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\main.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 13, 47
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\router\index.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\counter.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\passwordStore.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\userStore.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 7, 30
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Auth.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 3, 15
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Confirm.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Message.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Request.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 11, 15, 117
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Utils.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\verify.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", 297, 0, 0, 0, 0, 0, 0, 0, 13, 44, 354
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\UserManagement.vue", "Vue", 295, 0, 0, 0, 0, 0, 0, 0, 11, 44, 350
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Framework.vue", "Vue", 67, 0, 0, 0, 0, 0, 0, 0, 0, 14, 81
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 533, 0, 0, 0, 0, 0, 0, 0, 23, 76, 632
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 422, 0, 0, 0, 0, 0, 0, 0, 36, 51, 509
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Profile.vue", "Vue", 358, 0, 0, 0, 0, 0, 0, 0, 13, 39, 410
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Test.vue", "Vue", 73, 0, 0, 0, 0, 0, 0, 0, 8, 15, 96
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\TextSearch.vue", "Vue", 553, 0, 0, 0, 0, 0, 0, 0, 15, 72, 640
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\dialogue.vue", "Vue", 464, 0, 0, 0, 0, 0, 0, 0, 7, 65, 536
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\others.vue", "Vue", 63, 0, 0, 0, 0, 0, 0, 0, 1, 15, 79
"Total", "-", 6667, 213, 135, 2, 562, 275, 931, 165, 350, 1396, 10696
